label,id,name,group
0,0,2um Spherical Phytoplankt,
1,1,Synedococcus,
2,2,Oscillatoria,
3,3,Small Diatoms (<20um),
4,4,Big Diatoms (>20um),
5,5,Dinoflagellates,
6,6,Other Phytoplankton,
7,7,Benthic Phytoplankton,Demersal Producer
8,8,Thalassia,Seagrass Producer
9,9,Halodule,Seagrass Producer
10,10,Syringodium,Seagrass Producer
11,11,Roots,
12,12,Drift Algae,Algae Producer
13,13,Epiphytes,Algae Producer
14,14,Free Bacteria,Microbial Microfauna
15,15,Water Flagellates,Microbial Microfauna
16,16,Water Cilitaes,Microbial Microfauna
17,17,Acartia Tonsa,Zooplankton Microfauna
18,18,Oithona nana,Zooplankton Microfauna
19,19,Paracalanus,Zooplankton Microfauna
20,20,Other Copepoda,Zooplankton Microfauna
21,21,Meroplankton,Zooplankton Microfauna
22,22,Other Zooplankton,Zooplankton Microfauna
23,23,Benthic Flagellates,Sediment Organism Microfauna
24,24,Benthic Ciliates,Sediment Organism Microfauna
25,25,Meiofauna,Sediment Organism Microfauna
26,26,Sponges,Macroinvertebrates
27,27,Coral,
28,28,Other Cnidaridae,Macroinvertebrates
29,29,Echinoderma,Macroinvertebrates
30,30,Bivalves,Macroinvertebrates
31,31,Detritivorous Gastropods,Macroinvertebrates
32,32,Epiphytic Gastropods,
33,33,Predatory Gastropods,Macroinvertebrates
34,34,Detritivorous Polychaetes,Macroinvertebrates
35,35,Predatory Polychaetes,Macroinvertebrates
36,36,Suspension Feeding Polych,Macroinvertebrates
37,37,Macrobenthos,Macroinvertebrates
38,38,Benthic Crustaceans,Macroinvertebrates
39,39,Detritivorous Amphipods,Macroinvertebrates
40,40,Herbivorous Amphipods,Macroinvertebrates
41,41,Isopods,Macroinvertebrates
42,42,Herbivorous Shrimp,Macroinvertebrates
43,43,Predatory Shrimp,Macroinvertebrates
44,44,Pink Shrimp,Macroinvertebrates
45,45,Thor Floridanus,
46,46,Lobster,
47,47,Detritivorous Crabs,Macroinvertebrates
48,48,Omnivorous Crabs,Macroinvertebrates
49,49,Predatory Crabs,Macroinvertebrates
50,50,Callinectus sapidus,Macroinvertebrates
51,51,Stone Crab,
52,52,Sharks,
53,53,Rays,
54,54,Tarpon,
55,55,Bonefish,
56,56,Sardines,Pelagic Fishes
57,57,Anchovy,Pelagic Fishes
58,58,Bay Anchovy,Pelagic Fishes
59,59,Lizardfish,Benthic Fishes
60,60,Catfish,Benthic Fishes
61,61,Eels,Demersal Fishes
62,62,Toadfish,Benthic Fishes
63,63,Brotalus,Demersal Fishes
64,64,Halfbeaks,Pelagic Fishes
65,65,Needlefish,Pelagic Fishes
66,66,Other Killifish,
67,67,Goldspotted killifish,Demersal Fishes
68,68,Rainwater killifish,Demersal Fishes
69,69,Snook,
70,70,Sailfin Molly,
71,71,Silverside,Pelagic Fishes
72,72,Other Horsefish,
73,73,Gulf Pipefish,
74,74,Dwarf Seahorse,
75,75,Grouper,
76,76,Jacks,
77,77,Pompano,
78,78,Other Snapper,
79,79,Gray Snapper,
80,80,Mojarra,
81,81,Grunt,
82,82,Porgy,
83,83,Pinfish,
84,84,Scianids,
85,85,Spotted Seatrout,
86,86,Red Drum,
87,87,Spadefish,
88,88,Parrotfish,
89,89,Mackerel,
90,90,Mullet,Pelagic Fishes
91,91,Barracuda,
92,92,Blennies,Benthic Fishes
93,93,Code Goby,Benthic Fishes
94,94,Clown Goby,Benthic Fishes
95,95,Flatfish,Benthic Fishes
96,96,Filefishes,
97,97,Puffer,
98,98,Other Pelagic Fishes,Pelagic Fishes
99,99,Other Demersal Fishes,Demersal Fishes
100,100,Loon,
101,101,Greeb,
102,102,Pelican,
103,103,Comorant,
104,104,Big Herons & Egrets,
105,105,Small Herons & Egrets,
106,106,Ibis,
107,107,Roseate Spoonbill,
108,108,Herbivorous Ducks,
109,109,Omnivorous Ducks,
110,110,Predatory Ducks,
111,111,Raptors,
112,112,Gruiformes,
113,113,Small Shorebirds,
114,114,Gulls & Terns,
115,115,Kingfisher,
116,116,Crocodiles,
117,117,Loggerhead Turtle,
118,118,Green Turtle,
119,119,Hawksbill Turtle,
120,120,Dolphin,
121,121,Manatee,
122,122,Water POC,Detritus
123,123,Benthic POC,Detritus
124,124,DOC,
125,125,Input,Detritus
126,126,Output,
127,127,Respiration,
